Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
2450	0.08	0.117	0.161
2451	0.082	0.292	0.034
2452	0.621	0.408	0.289
2454	0.237	0.189	0.508
2455	0.653	0.146	0.407
2456	0.236	0.155	0.72
2457	0.18	0.359	0.334
2458	0.218	0.02	0.142
2459	0.335	0.829	0.014
2460	0.432	0.485	0.05
2461	0.054	0.067	0.706
2462	0.354	0.255	0.674
2463	0.566	0.33	0.913
2465	0.434	0.326	0.206
2466	0.45	0.935	0.029
2467	0.458	0.352	0.916
2468	0.72	0.632	0.191
2469	0.245	0.097	0.893
2470	0.278	0.124	0.045
2471	0.508	0.262	0.032
2473	0.178	0.197	0.289
2474	0.15	0.482	0.718
2475	0.689	0.435	0.323
2476	0.365	0.907	0.051
2477	0.04	0.112	0.058
2478	0.995	0.468	0.228
2479	0.917	0.641	0.453
2481	0.919	0.611	0.873
2483	0.985	0.556	0.242
2484	0.775	0.737	0.329
2485	0.966	0.749	0.587
2486	0.759	0.348	0.052
2489	0.17	0.05	0.76
2490	0.337	0.148	0.019
2491	0.111	0.489	0.28
2492	0.068	0.088	0.243
2493	0.694	0.789	0.26
2494	0.992	0.29	0.403
2496	0.107	0.094	0.518
2497	0.134	0.069	0.334
2498	0.131	0.235	0.123
2500	0.003	0.008	0.656
2501	0.675	0.386	0.213
2502	0.953	0.685	0.509
2503	0.289	0.417	0.333
2504	0.061	0.021	0.263
2505	0.15	0.261	0.006
2506	0.627	0.718	0.017
2507	0.591	0.792	0.495
2508	0.361	0.683	0.411
2509	0.643	0.424	0.1
2510	0.225	0.624	0.107
2511	0.509	0.093	0.267
2512	0.273	0.461	0.406
